network_id,topology,n_nodes,n_edges,density,phi,computation_time,timestamp,tpm_rule,state
erdos_renyi_n4_p0.2_20251206_112644_099370,erdos_renyi,4,3,0.25,0.0,0.0003325939178466,2025-12-06T11:26:44.170965,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_099873,erdos_renyi,4,3,0.25,0.0,0.0002989768981933,2025-12-06T11:26:44.171749,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_100267,erdos_renyi,4,3,0.25,0.0,0.0003862380981445,2025-12-06T11:26:44.172563,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_100533,erdos_renyi,4,3,0.25,0.0,0.0003890991210937,2025-12-06T11:26:44.173391,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_100764,erdos_renyi,4,3,0.25,0.0,0.0003812313079833,2025-12-06T11:26:44.174213,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_101428,erdos_renyi,4,3,0.25,0.0,0.0004458427429199,2025-12-06T11:26:44.174986,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_101115,erdos_renyi,4,3,0.25,0.0,0.0004458427429199,2025-12-06T11:26:44.175765,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_101672,erdos_renyi,4,3,0.25,0.0,0.0003895759582519,2025-12-06T11:26:44.176578,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_102609,erdos_renyi,4,3,0.25,0.0,0.0003457069396972,2025-12-06T11:26:44.177405,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_102862,erdos_renyi,4,3,0.25,0.0,0.0003492832183837,2025-12-06T11:26:44.178220,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_103258,erdos_renyi,4,3,0.25,0.0,0.0003423690795898,2025-12-06T11:26:44.179004,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_101967,erdos_renyi,4,3,0.25,0.0,0.0004205703735351,2025-12-06T11:26:44.179797,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_102340,erdos_renyi,4,3,0.25,0.0,0.0004067420959472,2025-12-06T11:26:44.180634,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_103526,erdos_renyi,4,3,0.25,0.0,0.0002872943878173,2025-12-06T11:26:44.181478,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_103757,erdos_renyi,4,3,0.25,0.0,0.000293493270874,2025-12-06T11:26:44.182289,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_104118,erdos_renyi,4,3,0.25,0.0,0.0002741813659667,2025-12-06T11:26:44.183054,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_186201,erdos_renyi,4,6,0.5,0.0,0.0090000629425048,2025-12-06T11:26:44.273811,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_185537,erdos_renyi,4,6,0.5,0.0,0.0092382431030273,2025-12-06T11:26:44.275383,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_187139,erdos_renyi,4,6,0.5,0.0,0.0098562240600585,2025-12-06T11:26:44.276317,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_185105,erdos_renyi,4,6,0.5,0.0,0.0102810859680175,2025-12-06T11:26:44.277253,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_185816,erdos_renyi,4,6,0.5,0.0,0.0101833343505859,2025-12-06T11:26:44.278170,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_184390,erdos_renyi,4,6,0.5,0.0,0.0104753971099853,2025-12-06T11:26:44.279106,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_183899,erdos_renyi,4,6,0.5,0.0,0.0111782550811767,2025-12-06T11:26:44.285350,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_184709,erdos_renyi,4,6,0.5,0.0,0.0130934715270996,2025-12-06T11:26:44.286266,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_186770,erdos_renyi,4,6,0.5,0.0,0.0125777721405029,2025-12-06T11:26:44.287253,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_187457,erdos_renyi,4,6,0.5,0.0,0.0126328468322753,2025-12-06T11:26:44.288178,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_186507,erdos_renyi,4,6,0.5,0.0,0.0128059387207031,2025-12-06T11:26:44.289035,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_187711,erdos_renyi,4,6,0.5,0.0,0.0060555934906005,2025-12-06T11:26:44.289969,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_188945,erdos_renyi,4,6,0.5,0.0,0.0063014030456542,2025-12-06T11:26:44.290817,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_188397,erdos_renyi,4,6,0.5,0.0,0.0067970752716064,2025-12-06T11:26:44.291729,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_188658,erdos_renyi,4,6,0.5,0.0,0.0067994594573974,2025-12-06T11:26:44.292632,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_189343,erdos_renyi,4,6,0.5,0.0,0.0064103603363037,2025-12-06T11:26:44.293530,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_188051,erdos_renyi,4,6,0.5,0.0,0.0093235969543457,2025-12-06T11:26:44.294417,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_190294,erdos_renyi,4,6,0.5,0.0,0.0065009593963623,2025-12-06T11:26:44.295284,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_189615,erdos_renyi,4,6,0.5,0.0,0.0088598728179931,2025-12-06T11:26:44.296161,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_189883,erdos_renyi,4,6,0.5,0.0,0.0077478885650634,2025-12-06T11:26:44.297020,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_190558,erdos_renyi,4,6,0.5,0.0,0.0085234642028808,2025-12-06T11:26:44.297921,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_191174,erdos_renyi,4,6,0.5,0.0,0.0065016746520996,2025-12-06T11:26:44.298791,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_191517,erdos_renyi,4,6,0.5,0.0,0.006643533706665,2025-12-06T11:26:44.299824,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_190800,erdos_renyi,4,6,0.5,0.0,0.0104885101318359,2025-12-06T11:26:44.300738,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_191771,erdos_renyi,4,6,0.5,0.0,0.0064668655395507,2025-12-06T11:26:44.301634,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_192478,erdos_renyi,4,6,0.5,0.0,0.0064864158630371,2025-12-06T11:26:44.302522,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_192132,erdos_renyi,4,6,0.5,0.0,0.0069224834442138,2025-12-06T11:26:44.303399,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_192792,erdos_renyi,4,6,0.5,0.0,0.0065033435821533,2025-12-06T11:26:44.304267,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_193154,erdos_renyi,4,6,0.5,0.0,0.0060803890228271,2025-12-06T11:26:44.305157,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_193460,erdos_renyi,4,6,0.5,0.0,0.0065236091613769,2025-12-06T11:26:44.306024,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_194041,erdos_renyi,4,6,0.5,0.0,0.0061175823211669,2025-12-06T11:26:44.306937,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_194381,erdos_renyi,4,6,0.5,0.0,0.0062842369079589,2025-12-06T11:26:44.307811,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_193710,erdos_renyi,4,6,0.5,0.0,0.007439374923706,2025-12-06T11:26:44.308715,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_194643,erdos_renyi,4,6,0.5,0.0,0.0061311721801757,2025-12-06T11:26:44.309633,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_195581,erdos_renyi,4,6,0.5,0.0,0.00596284866333,2025-12-06T11:26:44.310548,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_194913,erdos_renyi,4,6,0.5,0.0,0.006373643875122,2025-12-06T11:26:44.311464,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_195311,erdos_renyi,4,6,0.5,0.0,0.0064828395843505,2025-12-06T11:26:44.312345,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_195825,erdos_renyi,4,6,0.5,0.0,0.0068137645721435,2025-12-06T11:26:44.313244,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_196201,erdos_renyi,4,6,0.5,0.0,0.0060055255889892,2025-12-06T11:26:44.314149,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_201468,erdos_renyi,4,6,0.5,0.0,0.0060679912567138,2025-12-06T11:26:44.315018,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_201910,erdos_renyi,4,6,0.5,0.0,0.0060455799102783,2025-12-06T11:26:44.315943,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_202330,erdos_renyi,4,6,0.5,0.0,0.0062434673309326,2025-12-06T11:26:44.316827,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_202618,erdos_renyi,4,6,0.5,0.0,0.0065386295318603,2025-12-06T11:26:44.317774,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_202912,erdos_renyi,4,6,0.5,0.0,0.0071725845336914,2025-12-06T11:26:44.318692,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_203326,erdos_renyi,4,6,0.5,0.0,0.0061707496643066,2025-12-06T11:26:44.319611,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_203867,erdos_renyi,4,6,0.5,0.0,0.0059070587158203,2025-12-06T11:26:44.320532,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_203607,erdos_renyi,4,6,0.5,0.0,0.0064172744750976,2025-12-06T11:26:44.321461,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_204307,erdos_renyi,4,6,0.5,0.0,0.0060770511627197,2025-12-06T11:26:44.322355,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_204582,erdos_renyi,4,6,0.5,0.0,0.0063338279724121,2025-12-06T11:26:44.323254,or,[1 1 1 1]
erdos_renyi_n4_p0.3_20251206_112644_204827,erdos_renyi,4,6,0.5,0.0,0.0061700344085693,2025-12-06T11:26:44.324167,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_328294,erdos_renyi,4,7,0.5833333333333334,0.0,0.0142574310302734,2025-12-06T11:26:44.433858,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_327479,erdos_renyi,4,7,0.5833333333333334,0.0,0.014427900314331,2025-12-06T11:26:44.435623,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_327157,erdos_renyi,4,7,0.5833333333333334,0.0,0.0157783031463623,2025-12-06T11:26:44.436660,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_326199,erdos_renyi,4,7,0.5833333333333334,0.0,0.0160768032073974,2025-12-06T11:26:44.437710,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_328583,erdos_renyi,4,7,0.5833333333333334,0.0,0.0155282020568847,2025-12-06T11:26:44.438747,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_325803,erdos_renyi,4,7,0.5833333333333334,0.0,0.0169677734375,2025-12-06T11:26:44.439774,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_326512,erdos_renyi,4,7,0.5833333333333334,0.0,0.0177578926086425,2025-12-06T11:26:44.440805,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_327876,erdos_renyi,4,7,0.5833333333333334,0.0,0.0196881294250488,2025-12-06T11:26:44.441834,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_325504,erdos_renyi,4,7,0.5833333333333334,0.0,0.0206365585327148,2025-12-06T11:26:44.443857,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_325050,erdos_renyi,4,7,0.5833333333333334,0.0,0.0212125778198242,2025-12-06T11:26:44.445042,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_326777,erdos_renyi,4,7,0.5833333333333334,0.0,0.0208280086517334,2025-12-06T11:26:44.446141,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_328833,erdos_renyi,4,7,0.5833333333333334,0.0,0.0110533237457275,2025-12-06T11:26:44.447185,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_329220,erdos_renyi,4,7,0.5833333333333334,0.0,0.0112931728363037,2025-12-06T11:26:44.448198,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_329517,erdos_renyi,4,7,0.5833333333333334,0.0,0.011237621307373,2025-12-06T11:26:44.449200,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_329774,erdos_renyi,4,7,0.5833333333333334,0.0,0.011404275894165,2025-12-06T11:26:44.450242,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_330463,erdos_renyi,4,7,0.5833333333333334,0.0,0.0111184120178222,2025-12-06T11:26:44.451264,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_330149,erdos_renyi,4,7,0.5833333333333334,0.0,0.0121960639953613,2025-12-06T11:26:44.452272,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_330710,erdos_renyi,4,7,0.5833333333333334,0.0,0.012686014175415,2025-12-06T11:26:44.453278,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_331050,erdos_renyi,4,7,0.5833333333333334,0.0,0.0110676288604736,2025-12-06T11:26:44.454287,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_331947,erdos_renyi,4,7,0.5833333333333334,0.0,0.0114796161651611,2025-12-06T11:26:44.455290,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_331386,erdos_renyi,4,7,0.5833333333333334,0.0,0.0122945308685302,2025-12-06T11:26:44.456353,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_331655,erdos_renyi,4,7,0.5833333333333334,0.0,0.0121450424194335,2025-12-06T11:26:44.457426,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_332615,erdos_renyi,4,7,0.5833333333333334,0.0,0.0107369422912597,2025-12-06T11:26:44.458474,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_332340,erdos_renyi,4,7,0.5833333333333334,0.0,0.0116279125213623,2025-12-06T11:26:44.459518,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_333286,erdos_renyi,4,7,0.5833333333333334,0.0,0.0112054347991943,2025-12-06T11:26:44.460822,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_332880,erdos_renyi,4,7,0.5833333333333334,0.0,0.0117866992950439,2025-12-06T11:26:44.462193,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_333551,erdos_renyi,4,7,0.5833333333333334,0.0,0.0125656127929687,2025-12-06T11:26:44.463205,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_333796,erdos_renyi,4,7,0.5833333333333334,0.0,0.012148380279541,2025-12-06T11:26:44.464209,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_334162,erdos_renyi,4,7,0.5833333333333334,0.0,0.0115389823913574,2025-12-06T11:26:44.465222,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_334466,erdos_renyi,4,7,0.5833333333333334,0.0,0.0111334323883056,2025-12-06T11:26:44.466227,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_335056,erdos_renyi,4,7,0.5833333333333334,0.0,0.0107522010803222,2025-12-06T11:26:44.467241,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_334717,erdos_renyi,4,7,0.5833333333333334,0.0,0.0110754966735839,2025-12-06T11:26:44.468253,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_335395,erdos_renyi,4,7,0.5833333333333334,0.0,0.0110082626342773,2025-12-06T11:26:44.469277,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_335650,erdos_renyi,4,7,0.5833333333333334,0.0,0.010535717010498,2025-12-06T11:26:44.470306,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_335943,erdos_renyi,4,7,0.5833333333333334,0.0,0.011031150817871,2025-12-06T11:26:44.471337,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_336337,erdos_renyi,4,7,0.5833333333333334,0.0,0.0109167098999023,2025-12-06T11:26:44.472362,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_336607,erdos_renyi,4,7,0.5833333333333334,0.0,0.0114390850067138,2025-12-06T11:26:44.473382,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_337278,erdos_renyi,4,7,0.5833333333333334,0.0,0.0118176937103271,2025-12-06T11:26:44.474401,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_336867,erdos_renyi,4,7,0.5833333333333334,0.0,0.0124673843383789,2025-12-06T11:26:44.475412,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_337548,erdos_renyi,4,7,0.5833333333333334,0.0,0.0109968185424804,2025-12-06T11:26:44.476675,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_337814,erdos_renyi,4,7,0.5833333333333334,0.0,0.0109105110168457,2025-12-06T11:26:44.477742,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_338187,erdos_renyi,4,7,0.5833333333333334,0.0,0.0108013153076171,2025-12-06T11:26:44.478789,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_338493,erdos_renyi,4,7,0.5833333333333334,0.0,0.0108695030212402,2025-12-06T11:26:44.479835,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_338840,erdos_renyi,4,7,0.5833333333333334,0.0,0.0106298923492431,2025-12-06T11:26:44.480982,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_339236,erdos_renyi,4,7,0.5833333333333334,0.0,0.0108013153076171,2025-12-06T11:26:44.482019,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_339537,erdos_renyi,4,7,0.5833333333333334,0.0,0.0110197067260742,2025-12-06T11:26:44.483051,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_339784,erdos_renyi,4,7,0.5833333333333334,0.0,0.0108661651611328,2025-12-06T11:26:44.484169,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_340159,erdos_renyi,4,7,0.5833333333333334,0.0,0.0112538337707519,2025-12-06T11:26:44.485209,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_340467,erdos_renyi,4,7,0.5833333333333334,0.0,0.0116803646087646,2025-12-06T11:26:44.486236,or,[1 1 1 1]
erdos_renyi_n4_p0.5_20251206_112644_340713,erdos_renyi,4,7,0.5833333333333334,0.0,0.0116350650787353,2025-12-06T11:26:44.487277,or,[1 1 1 1]
erdos_renyi_n4_p0.7_20251206_112644_490195,erdos_renyi,4,10,0.8333333333333334,0.0,0.0404932498931884,2025-12-06T11:26:44.723020,or,[1 1 1 1]
erdos_renyi_n4_p0.7_20251206_112644_488803,erdos_renyi,4,10,0.8333333333333334,0.0,0.0413086414337158,2025-12-06T11:26:44.724896,or,[1 1 1 1]
erdos_renyi_n4_p0.7_20251206_112644_489202,erdos_renyi,4,10,0.8333333333333334,0.0,0.0426108837127685,2025-12-06T11:26:44.726193,or,[1 1 1 1]
erdos_renyi_n4_p0.7_20251206_112644_491153,erdos_renyi,4,10,0.8333333333333334,0.0,0.0425128936767578,2025-12-06T11:26:44.727308,or,[1 1 1 1]
erdos_renyi_n4_p0.7_20251206_112644_490509,erdos_renyi,4,10,0.8333333333333334,0.0,0.0427963733673095,2025-12-06T11:26:44.728406,or,[1 1 1 1]
erdos_renyi_n4_p0.7_20251206_112644_489797,erdos_renyi,4,10,0.8333333333333334,0.0,0.0430788993835449,2025-12-06T11:26:44.729513,or,[1 1 1 1]
erdos_renyi_n4_p0.7_20251206_112644_490769,erdos_renyi,4,10,0.8333333333333334,0.0,0.0431232452392578,2025-12-06T11:26:44.730637,or,[1 1 1 1]
erdos_renyi_n4_p0.7_20251206_112644_491860,erdos_renyi,4,10,0.8333333333333334,0.0,0.0431997776031494,2025-12-06T11:26:44.731751,or,[1 1 1 1]
erdos_renyi_n4_p0.7_20251206_112644_489520,erdos_renyi,4,10,0.8333333333333334,0.0,0.0445654392242431,2025-12-06T11:26:44.732895,or,[1 1 1 1]
erdos_renyi_n4_p0.7_20251206_112644_491476,erdos_renyi,4,10,0.8333333333333334,0.0,0.044994831085205,2025-12-06T11:26:44.734027,or,[1 1 1 1]
erdos_renyi_n4_p0.7_20251206_112644_488343,erdos_renyi,4,10,0.8333333333333334,0.0,0.047919750213623,2025-12-06T11:26:44.735209,or,[1 1 1 1]
erdos_renyi_n4_p0.7_20251206_112644_492501,erdos_renyi,4,10,0.8333333333333334,0.0,0.0359590053558349,2025-12-06T11:26:44.736317,or,[1 1 1 1]
erdos_renyi_n4_p0.7_20251206_112644_493113,erdos_renyi,4,10,0.8333333333333334,0.0,0.0362076759338378,2025-12-06T11:26:44.737409,or,[1 1 1 1]
erdos_renyi_n4_p0.7_20251206_112644_494042,erdos_renyi,4,10,0.8333333333333334,0.0,0.0352406501770019,2025-12-06T11:26:44.738512,or,[1 1 1 1]
